流程类型	流程场景		流程发起人	当前节点待办人员	流程中的投资经理	流程中的销售经理	流程中的产品经理	申报登记岗	发行登记岗	运管部信披岗
发行审批	流程未过提交部门审批节点		√	√	√	√				
	流程在提交部门审批节点或流程在提交公司审批节点		√	√	√	√	产品管理岗全部用户	√		√
	其他情况		√	√	√	√	√	√		√
发行前变更	流程未过提交部门审批节点		√	√	√	√				
	流程在提交部门审批节点或流程在提交公司审批节点		√	√	√	√	产品管理岗全部用户	√		√
	其他情况		√	√	√	√	√	√		√
暂停发行			√	√	√	√	产品管理岗全部用户	√		√
申报登记				√						
发行登记				√						
产品定价管理	部门领导审批流	在部门领导审批节点	√	√	√	√	产品管理岗全部用户			√
		其他情况	√	√	√	√				
	公司领导审批流	流程未过待部门领导审批节点	√	√	√	√				
		流程在提交部门审批节点或提交公司审批节点	√	√	√	√	产品管理岗全部用户			√
		其他情况	√	√	√	√	√			√
	敏捷会审批流	流程未过提交部门审批节点	√	√	√	√				
		流程在提交部门审批节点或组织敏捷小组会审议节点或确认审议结果节点	√	√	√	√	产品管理岗全部用户			√
		其他情况	√	√	√	√	√			√
增发份额	流程未过提交部门审批节点		√	√	√	√				
	流程在提交部门审批节点或提交公司审批节点		√	√	√	√	产品管理岗全部用户			√
	其他情况		√	√	√	√	√			√
销售相关信息变更	流程未过提交部门审批节点		√	√	√	√				
	流程在流程在提交部门审批节点		√	√	√	√	产品管理岗全部用户			√
	其他情况		√	√	√	√	√			√
开放计划调整	流程未过提交部门审批节点		√	√	√	√				
	流程在提交部门审批节点或提交公司审批节点		√	√	√	√	产品管理岗全部用户			√
	其他情况		√	√	√	√	√			√
分红方案管理
	定期分红		√	√	√	√				
	不定期分红	流程在待公司领导审批节点	√	√	√	√	产品管理岗全部用户			√
		其余场景	√	√	√	√	√			√
产品到期日变更	流程未过提交部门审批节点		√	√	√	√				
	流程在提交部门审批节点或组织敏捷小组会审议节点或确认审议结果节点		√	√	√	√	产品管理岗全部用户			√
	其他情况		√	√	√	√	√			√
